Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
   -0.025932      -0.04%      1713.13 ms/ev ->      1669.28 ms/ev ecalDrivenElectronSeedsFromMultiCl
   -0.025844      -0.01%       316.56 ms/ev ->       308.49 ms/ev ak4JetTracksAssociatorAtVertexJPT
   -0.025159      -0.00%        20.65 ms/ev ->        20.13 ms/ev generalTracks
   +0.024869      +0.05%      1869.72 ms/ev ->      1916.80 ms/ev initialStepTrackCandidates
   -0.024773      -0.00%       193.99 ms/ev ->       189.25 ms/ev hpsPFTauBasicDiscriminators
   -0.024018      -0.00%         5.94 ms/ev ->         5.80 ms/ev lowPtGsfEleCkfTrackCandidates
   -0.023965      -0.00%        90.24 ms/ev ->        88.10 ms/ev ak4PFJetsRecoTauChargedHadrons
   +0.023941      +0.00%        27.44 ms/ev ->        28.11 ms/ev ticlLayerTileProducer
   -0.023275      -0.00%         6.08 ms/ev ->         5.94 ms/ev gedPhotonsTmp
   +0.023112      +0.01%       264.30 ms/ev ->       270.48 ms/ev hgcalMultiClusters
   +0.022577      +0.00%        15.37 ms/ev ->        15.72 ms/ev electronMergedSeeds
   -0.022300      -0.01%       529.69 ms/ev ->       518.01 ms/ev lowPtQuadStepHitQuadruplets
   -0.021584      -0.01%       471.90 ms/ev ->       461.82 ms/ev highPtTripletStepTracks
   -0.021453      -0.00%        39.67 ms/ev ->        38.83 ms/ev uncleanedOnlyPfTrack
   -0.021381      -0.00%       117.19 ms/ev ->       114.71 ms/ev JetPlusTrackZSPCorJetAntiKt4
   -0.020580      -0.00%        60.63 ms/ev ->        59.39 ms/ev ticlMultiClustersFromTrackstersMerge
   -0.020250      -0.00%        53.87 ms/ev ->        52.79 ms/ev lowPtGsfElectrons
   -0.020182      -0.00%        19.82 ms/ev ->        19.42 ms/ev pfCombinedCvsLJetTags
   -0.019879      -0.00%        59.49 ms/ev ->        58.32 ms/ev photonIDValueMaps
   -0.019185      -0.00%        20.89 ms/ev ->        20.50 ms/ev hpsPFTauPrimaryVertexProducer
   -0.018885      -0.00%       110.91 ms/ev ->       108.84 ms/ev lowPtQuadStepSeeds
   +0.018646      +0.01%       457.39 ms/ev ->       466.00 ms/ev firstStepPrimaryVerticesUnsorted
   -0.018602      -0.00%         6.73 ms/ev ->         6.60 ms/ev particleFlowTmp
   -0.017478      -0.00%        39.53 ms/ev ->        38.85 ms/ev lowPtGsfElePfTracks
   +0.017275      +0.00%       152.65 ms/ev ->       155.31 ms/ev pfPileUpIso
   +0.017079      +0.00%        55.61 ms/ev ->        56.57 ms/ev HGCalRecHit
   +0.016570      +0.00%       151.36 ms/ev ->       153.89 ms/ev pfPileUpJME
   -0.016146      -0.00%        11.18 ms/ev ->        11.00 ms/ev ak8PFJetsPuppi
   -0.014831      -0.00%        83.00 ms/ev ->        81.78 ms/ev ticlTrackstersEM
   -0.014375      -0.01%       512.66 ms/ev ->       505.35 ms/ev particleFlowBlock
   -0.013810      -0.02%      1660.71 ms/ev ->      1637.94 ms/ev electronCkfTrackCandidates
   -0.013637      -0.00%        32.19 ms/ev ->        31.75 ms/ev mtdTrackQualityMVA
   -0.013282      -0.00%       340.69 ms/ev ->       336.19 ms/ev particleFlowClusterHGCalFromMultiCl
